program,module,gz,card_id
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,257613
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,256554
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,256555
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Рабочая тетрадь «Программное обеспечение компьютера»,256518
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Рабочая тетрадь «Программное обеспечение компьютера»,256525
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Рабочая тетрадь «Программное обеспечение компьютера»,256533
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Рабочая тетрадь «Программное обеспечение компьютера»,256512
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Рабочая тетрадь «Программное обеспечение компьютера»,256514
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Операции с файлами и папками»,256469
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Самостоятельная работа. Вариант 1,257875
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Самостоятельная работа. Вариант 2,257977
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Информация и информационные процессы,Рабочая тетрадь «Подходы к измерению информации»,261043
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные материалы «Системы счисления»,259738
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Презентация «Кодирование текстов»,261528
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Рабочая тетрадь «Кодирование текстов»,261572
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261584
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261589
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261590
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261585
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261587
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Представление информации в компьютере,Дополнительные задания «Кодирование текстов»,261588
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Элементы алгебры логики,Рабочая тетрадь «Логические функции и начала схемотехники»,261252
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Элементы алгебры логики,Рабочая тетрадь «Логические функции и начала схемотехники»,261254
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,Элементы алгебры логики,Рабочая тетрадь «Логические функции и начала схемотехники»,261257
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Технологии обработки текстовой, графической и мультимедийной информации",Дополнительные задания «3D-печать»,263504
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Технологии обработки текстовой, графической и мультимедийной информации",Дополнительные задания «3D-печать»,263503
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Технологии обработки текстовой, графической и мультимедийной информации",Дополнительные задания «3D-печать»,263479
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Технологии обработки текстовой, графической и мультимедийной информации",Дополнительные задания «3D-печать»,263502
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Рабочая тетрадь «Что такое интернет»,264006
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Рабочая тетрадь «Что такое интернет»,264007
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Рабочая тетрадь «Что такое интернет»,264010
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Дополнительные материалы «Что такое интернет»,264009
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Дополнительные материалы «Что такое интернет»,264008
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Рабочая тетрадь «Различные онлайн﻿-﻿сервисы»,263743
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Презентация «Сетевые протоколы»,257355
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Презентация «Сетевые протоколы»,263677
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Сетевые информационные технологии,Презентация «Сетевые протоколы»,257356
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Информационное моделирование,Презентация «Информационные модели»,258629
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Информационное моделирование,Презентация «Информационные модели»,258626
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Информационное моделирование,Рабочая тетрадь «Информационные модели»,258640
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Информационное моделирование,Рабочая тетрадь «Информационные модели»,258642
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,"Дополнительные материалы «Значения, типы данных, операции»",257157
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,"Дополнительные материалы «Значения, типы данных, операции»",257158
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,Рабочая тетрадь «Стандартные методы обработки строк»,261826
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,Рабочая тетрадь «Алгоритмы сортировки массивов»,262710
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,Рабочая тетрадь «Алгоритмы сортировки массивов»,262713
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,Рабочая тетрадь «Алгоритмы сортировки массивов»,262711
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и элементы программирования,Рабочая тетрадь «Алгоритмы сортировки массивов»,262712
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262664
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262652
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262674
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262661
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262665
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262660
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262659
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Презентация «Как устроены базы данных»,262666
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262893
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262869
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262878
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262879
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262831
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262825
Программа Информатики для 11 класса 2024-2025. Программа 1 час в неделю,Базы данных,Рабочая тетрадь «Как устроены базы данных»,262870
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютер,Презентация «Компьютер»,256158
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютер,Дополнительное задание «Необычные устройства»,256458
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютер,Дополнительное задание «Необычные устройства». Сюжетное занятие,256826
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Программы и данные,Презентация «Файлы и папки»,256653
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Программы и данные,Дополнительные материалы «Расширение файла»,256744
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Программы и данные,Дополнительные материалы «Расширение файла». Сюжетное занятие,256744
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Программы и данные,"Дополнительное задание «Программы, их запуск»",257341
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Программы и данные,"Дополнительное задание «Программы, их запуск». Сюжетное занятие",257341
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютерные сети,Викторина  «Поиск в сети»,257546
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютерные сети,Викторина  «Поиск в сети». Сюжетное занятие,257589
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Компьютерные сети,"Контрольная работа «Цифровая грамотность», Вариант 1",257914
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Кодирование информации»,259064
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Кодирование информации»,259058
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Искусственный интеллект»,259369
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Искусственный интеллект»,259371
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Искусственный интеллект»,259373
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Искусственный интеллект»,259370
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Информация в жизни человека,Рабочая тетрадь «Искусственный интеллект»,259372
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и исполнители,Дополнительное задание «Исполнитель»,260058
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и исполнители,Дополнительное задание «Исполнитель»,260056
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Алгоритмы и исполнители,Дополнительное задание «Исполнитель»,260054
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Работа в среде программирования,Дополнительное задание «Несколько тестов»,261314
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Работа в среде программирования,"Дополнительное задание «Условный алгоритм, урок 2»",262025
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Графический редактор,Презентация «Компьютерная графика»,261049
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Повторение,Рабочая тетрадь «Обобщающее повторение»,263334
Программа Информатики для 5 класса 2024-2025. Программа 1 час в неделю,Повторение,Презентация «Итоговая контрольная работа»,263439
Программа Информатики для 6 класса 2024-2025. Программа 1 час в неделю,Информация и информационные процессы,Рабочая тетрадь «Информационные процессы»,257842
Программа Информатики для 6 класса 2024-2025. Программа 1 час в неделю,Практика создания алгоритмов,Презентация «Этапы цифровой разработки»,260976
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютер – универсальное устройство обработки данных,Практика «Устройство компьютера». Часть 2,232968
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Презентация «Организация интернета»,217306
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Презентация «Безопасность в сети»,217558
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Рабочая тетрадь «Безопасность в сети»,217581
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Рабочая тетрадь «Безопасность в сети»,217567
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Презентация «‎Безопасное общение в интернете»,217603
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Презентация «Поисковые запросы»,220351
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Рабочая тетрадь «Поисковые запросы»,220356
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерные сети,Презентация «Расширенные поисковые запросы»,220658
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Информация и информационные процессы,Презентация «Информация в XXI веке»,237458
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Рабочая тетрадь «Единицы измерения информации»,237506
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Рабочая тетрадь «Единицы измерения информации»,252592
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Рабочая тетрадь «Единицы измерения информации»,237507
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Рабочая тетрадь «Единицы измерения информации. Задачи»,237524
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Рабочая тетрадь «Кодирование графической информации»,227307
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Практические задания «Параметры графической информации» Вариант 1,230809
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Практические задания «Параметры графической информации» Вариант 1,230810
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Практические задания «Параметры графической информации» Вариант 1,230811
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Практические задания «Параметры графической информации» Вариант 1,230807
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Представление информации,Практические задания «Параметры графической информации» Вариант 1,230808
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Исполнители и алгоритмы. Алгоритмические конструкции. Blockly,"Практическая работа «Робот: поле, команды и программы» (Blockly)",218531
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Исполнители и алгоритмы. Алгоритмические конструкции. Blockly,"Практическая работа «Робот: поле, команды и программы» (Blockly)",218535
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Исполнители и алгоритмы. Алгоритмические конструкции. Blockly,"Практическая работа «Робот: поле, команды и программы» (Blockly)",218533
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Исполнители и алгоритмы. Алгоритмические конструкции. Blockly,"Практическая работа «Робот: поле, команды и программы» (Blockly)",218534
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Исполнители и алгоритмы. Алгоритмические конструкции. Blockly,"Практическая работа «Робот: поле, команды и программы» (Blockly)",218530
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерная графика,Рабочая тетрадь «Работа с векторными изображениями»,243087
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю»,Компьютерная графика,Дополнительные задания «Работа с векторными изображениями»,255709
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 1,232693
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 1,232694
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 2,232968
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Алгоритмы с ветвлением,Презентация «Анализ программ и решение задач» (Blockly),235774
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Циклические алгоритмы,Тестовое задание (Blockly),235039
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Циклические алгоритмы,Тестовое задание (Blockly),235038
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221551
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221550
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221549
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Хранение информации,Рабочая тетрадь «Файловые системы»,237481
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Хранение информации,Рабочая тетрадь «Единицы измерения информации. Задачи»,237524
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Цифровые сервисы,Дополнительный контент,219126
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217567
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217581
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Поисковые запросы»,220356
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Поиск в специальных сервисах»,220904
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Текстовые редакторы,Дополнительное задание «Учимся быстро печатать»,233968
Программа Информатики для 7 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Графические редакторы,Рабочая тетрадь «Работа с векторными изображениями»,243087
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,216228
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,213220
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,218523
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,215803
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,216226
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,213231
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,215812
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,213233
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройство компьютера». Часть 1,215808
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Практика «Устройство компьютера». Часть 2,232968
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютер – универсальное устройство обработки данных,Презентация «Устройства ввода и вывода»,233079
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Программы и данные,Презентация «Программное обеспечение компьютера»,232979
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Программы и данные,Практическое задание «Программное обеспечение компьютера»,184000
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Программы и данные,Презентация «Файловая система»,237475
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютерные сети,Рабочая тетрадь «Безопасность в сети»,217581
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютерные сети,Рабочая тетрадь «Безопасность в сети»,217567
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютерные сети,Рабочая тетрадь «Поисковые запросы»,220356
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Представление информации,Практические задания «Оцифровка информации». Вариант 2,229570
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Представление информации,Практические задания «Оцифровка информации». Вариант 2,229569
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Представление информации,Практические задания «Оцифровка информации». Вариант 2,229568
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Представление информации,Практические задания «Оцифровка информации». Вариант 2,229567
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Представление информации,Рабочая тетрадь «Кодирование графической информации»,227307
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютерная графика,Рабочая тетрадь «Работа с векторными изображениями»,243087
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю»,Компьютерная графика,Дополнительные задания «Работа с векторными изображениями»,255709
